citizenId,scheme
C01684,Annadata Sukhibhava
C00599,Free Gas Cylinders
C02113,Annadata Sukhibhava
C00545,Annadata Sukhibhava
C04849,Talliki Vandanam
C01127,Talliki Vandanam
C03107,Talliki Vandanam
C04005,Annadata Sukhibhava
C02031,Dr NTR Vaidya Seva
C04777,Free Bus Travel for Women
C00433,Talliki Vandanam
C02954,Deepam 2.0
C01447,Annadata Sukhibhava
C02534,Unemployment Allowance
C01344,Dr NTR Vaidya Seva
C03586,Free Bus Travel for Women
C02995,Free Bus Travel for Women
C04592,Unemployment Allowance
C01115,Free Gas Cylinders
C03477,Annadata Sukhibhava
C01014,Dr NTR Vaidya Seva
C00891,Free Gas Cylinders
C04677,Unemployment Allowance
C02213,Deepam 2.0
C03385,Annadata Sukhibhava
C04375,Unemployment Allowance
C02699,Free Gas Cylinders
C01718,Thalli Bidda
C02595,Dokka Seethamma
C01264,Dr NTR Vaidya Seva
C04342,Deepam 2.0
C03021,Talliki Vandanam
C04374,Annadata Sukhibhava
C02210,Unemployment Allowance
C00258,Deepam 2.0
C01569,Deepam 2.0
C01597,Free Gas Cylinders
C04548,Free Gas Cylinders
C04860,Free Bus Travel for Women
C02850,Dokka Seethamma
C00459,Free Bus Travel for Women
C02731,Deepam 2.0
C04162,Dokka Seethamma
C00248,Free Gas Cylinders
C00230,Thalli Bidda
C02590,Talliki Vandanam
C04073,Dokka Seethamma
C00722,Thalli Bidda
C01736,Free Gas Cylinders
C02124,Unemployment Allowance
C01078,Free Gas Cylinders
C01482,Unemployment Allowance
C03878,Thalli Bidda
C04004,Thalli Bidda
C02074,Unemployment Allowance
C02241,Dr NTR Vaidya Seva
C02168,Free Bus Travel for Women
C00278,Unemployment Allowance
C03500,Unemployment Allowance
C00434,Talliki Vandanam
C03562,Talliki Vandanam
C03167,Dokka Seethamma
C04187,Deepam 2.0
C03197,Unemployment Allowance
C04476,Dr NTR Vaidya Seva
C01032,Thalli Bidda
C02984,Free Gas Cylinders
C01704,Thalli Bidda
C03790,Free Bus Travel for Women
C04608,Free Gas Cylinders
C02378,Dr NTR Vaidya Seva
C00170,Annadata Sukhibhava
C01145,Annadata Sukhibhava
C00182,Unemployment Allowance
C00200,Thalli Bidda
C01288,Free Gas Cylinders
C02075,Free Gas Cylinders
C01623,Dr NTR Vaidya Seva
C00357,Annadata Sukhibhava
C03557,Talliki Vandanam
C04699,Free Bus Travel for Women
C01158,Unemployment Allowance
C03840,Talliki Vandanam
C03608,Deepam 2.0
C03254,Deepam 2.0
C02954,Annadata Sukhibhava
C03907,Unemployment Allowance
C01649,Annadata Sukhibhava
C03230,Talliki Vandanam
C01783,Deepam 2.0
C03046,Talliki Vandanam
C01894,Unemployment Allowance
C02020,Dokka Seethamma
C04352,Unemployment Allowance
C02191,Deepam 2.0
C03768,Dokka Seethamma
C04696,Free Gas Cylinders
C01273,Free Bus Travel for Women
C03502,Annadata Sukhibhava
C04091,Unemployment Allowance
C04669,Dr NTR Vaidya Seva
C02151,Free Gas Cylinders
C02510,Free Gas Cylinders
C02901,Thalli Bidda
C04154,Annadata Sukhibhava
C01420,Thalli Bidda
C01582,Annadata Sukhibhava
C04039,Unemployment Allowance
C01178,Thalli Bidda
C00873,Dokka Seethamma
C01873,Deepam 2.0
C01189,Unemployment Allowance
C00194,Deepam 2.0
C01748,Free Bus Travel for Women
C03229,Deepam 2.0
C03898,Dr NTR Vaidya Seva
C00839,Thalli Bidda
C03348,Unemployment Allowance
C00250,Unemployment Allowance
C00332,Unemployment Allowance
C03191,Free Gas Cylinders
C03004,Annadata Sukhibhava
C00662,Deepam 2.0
C04526,Dr NTR Vaidya Seva
C01896,Dokka Seethamma
C00651,Annadata Sukhibhava
C00131,Free Gas Cylinders
C00054,Deepam 2.0
C01076,Dokka Seethamma
C04941,Deepam 2.0
C00311,Thalli Bidda
C02392,Free Gas Cylinders
C04815,Free Gas Cylinders
C01391,Dokka Seethamma
C01105,Thalli Bidda
C03441,Thalli Bidda
C03945,Unemployment Allowance
C01496,Free Bus Travel for Women
C01722,Free Gas Cylinders
C02171,Free Bus Travel for Women
C01878,Thalli Bidda
C01586,Deepam 2.0
C03609,Dokka Seethamma
C01770,Dr NTR Vaidya Seva
C04739,Deepam 2.0
C00654,Free Gas Cylinders
C00981,Talliki Vandanam
C00098,Deepam 2.0
C03108,Talliki Vandanam
C04012,Thalli Bidda
C01353,Annadata Sukhibhava
C02110,Free Bus Travel for Women
C02060,Dokka Seethamma
C03157,Dr NTR Vaidya Seva
C02813,Free Bus Travel for Women
C04070,Annadata Sukhibhava
C02959,Free Gas Cylinders
C03903,Free Bus Travel for Women
C00913,Talliki Vandanam
C02918,Deepam 2.0
C00036,Dokka Seethamma
C04652,Dokka Seethamma
C01594,Annadata Sukhibhava
C04556,Thalli Bidda
C01819,Talliki Vandanam
C04656,Free Gas Cylinders
C00424,Thalli Bidda
C01717,Free Bus Travel for Women
C03827,Thalli Bidda
C01866,Annadata Sukhibhava
C01067,Thalli Bidda
C01580,Unemployment Allowance
C00702,Unemployment Allowance
C04237,Free Gas Cylinders
C00424,Deepam 2.0
C03719,Free Gas Cylinders
C04969,Talliki Vandanam
C04305,Deepam 2.0
C03375,Dokka Seethamma
C00152,Talliki Vandanam
C04977,Talliki Vandanam
C03868,Deepam 2.0
C01416,Talliki Vandanam
C04594,Thalli Bidda
C00700,Deepam 2.0
C00994,Dokka Seethamma
C04787,Unemployment Allowance
C02845,Deepam 2.0
C02010,Free Gas Cylinders
C04672,Dr NTR Vaidya Seva
C00310,Deepam 2.0
C01922,Free Bus Travel for Women
C00618,Free Gas Cylinders
C04228,Thalli Bidda
C02874,Annadata Sukhibhava
C03771,Free Gas Cylinders
C03650,Talliki Vandanam
C01620,Deepam 2.0
C01611,Talliki Vandanam
C04513,Dokka Seethamma
C04411,Talliki Vandanam
C03555,Talliki Vandanam
C04957,Unemployment Allowance
C00550,Thalli Bidda
C02755,Talliki Vandanam
C01387,Unemployment Allowance
C00998,Free Bus Travel for Women
C00197,Talliki Vandanam
C03635,Dokka Seethamma
C04475,Dr NTR Vaidya Seva
C04044,Free Gas Cylinders
C04225,Thalli Bidda
C02659,Free Gas Cylinders
C04434,Free Gas Cylinders
C00041,Free Gas Cylinders
C04711,Annadata Sukhibhava
C02488,Free Gas Cylinders
C00354,Unemployment Allowance
C03586,Deepam 2.0
C02033,Dr NTR Vaidya Seva
C03378,Unemployment Allowance
C03223,Deepam 2.0
C03649,Deepam 2.0
C04110,Dr NTR Vaidya Seva
C02779,Annadata Sukhibhava
C04426,Annadata Sukhibhava
C02360,Deepam 2.0
C00323,Unemployment Allowance
C01852,Dokka Seethamma
C02216,Free Gas Cylinders
C00377,Unemployment Allowance
C03288,Deepam 2.0
C00869,Thalli Bidda
C03163,Unemployment Allowance
C01585,Unemployment Allowance
C04955,Free Bus Travel for Women
C04703,Unemployment Allowance
C00874,Dr NTR Vaidya Seva
C03094,Thalli Bidda
C02101,Talliki Vandanam
C03618,Dokka Seethamma
C04586,Dr NTR Vaidya Seva
C04618,Dokka Seethamma
C02949,Dokka Seethamma
C02578,Thalli Bidda
C02218,Annadata Sukhibhava
C00705,Talliki Vandanam
C03239,Dr NTR Vaidya Seva
C03750,Deepam 2.0
C03513,Unemployment Allowance
C00751,Dokka Seethamma
C03667,Free Bus Travel for Women
C04744,Thalli Bidda
C04408,Free Gas Cylinders
C01775,Thalli Bidda
C03873,Talliki Vandanam
C00594,Deepam 2.0
C02284,Free Bus Travel for Women
C00898,Dr NTR Vaidya Seva
C02179,Free Gas Cylinders
C04896,Dokka Seethamma
C01207,Unemployment Allowance
C02023,Thalli Bidda
C04478,Talliki Vandanam
C02216,Thalli Bidda
C00023,Unemployment Allowance
C00322,Thalli Bidda
C04827,Free Bus Travel for Women
C03187,Free Gas Cylinders
C00560,Dokka Seethamma
C03663,Free Gas Cylinders
C03227,Deepam 2.0
C03540,Deepam 2.0
C00412,Free Bus Travel for Women
C01303,Thalli Bidda
C01707,Free Gas Cylinders
C04066,Annadata Sukhibhava
C01155,Free Gas Cylinders
C03190,Thalli Bidda
C01513,Annadata Sukhibhava
C01265,Free Bus Travel for Women
C00040,Talliki Vandanam
C04527,Free Gas Cylinders
C03751,Dokka Seethamma
C04720,Free Gas Cylinders
C04809,Annadata Sukhibhava
C03010,Free Bus Travel for Women
C01163,Unemployment Allowance
C01488,Free Gas Cylinders
C03182,Dr NTR Vaidya Seva
C00162,Talliki Vandanam
C04755,Dokka Seethamma
C00007,Free Gas Cylinders
C04024,Dokka Seethamma
C01744,Dr NTR Vaidya Seva
C04963,Talliki Vandanam
C01684,Talliki Vandanam
C01657,Unemployment Allowance
C00600,Free Bus Travel for Women
C03324,Free Gas Cylinders
C01549,Deepam 2.0
C04820,Dokka Seethamma
C02648,Dr NTR Vaidya Seva
C04392,Unemployment Allowance
C04933,Thalli Bidda
C03615,Talliki Vandanam
C04083,Talliki Vandanam
C03492,Talliki Vandanam
C00204,Thalli Bidda
C02232,Dr NTR Vaidya Seva
C00814,Unemployment Allowance
C01963,Free Bus Travel for Women
C03647,Talliki Vandanam
C00417,Unemployment Allowance
C04844,Annadata Sukhibhava
C04000,Unemployment Allowance
C02325,Free Bus Travel for Women
C03175,Dokka Seethamma
C03586,Annadata Sukhibhava
C03126,Free Bus Travel for Women
C04127,Thalli Bidda
C03578,Deepam 2.0
C00650,Free Gas Cylinders
C03916,Thalli Bidda
C02467,Talliki Vandanam
C02663,Unemployment Allowance
C03070,Dokka Seethamma
C03581,Dr NTR Vaidya Seva
C00999,Dokka Seethamma
C01223,Unemployment Allowance
C04418,Thalli Bidda
C02520,Annadata Sukhibhava
C02246,Deepam 2.0
C04007,Dokka Seethamma
C02962,Free Bus Travel for Women
C00521,Unemployment Allowance
C00892,Dokka Seethamma
C04101,Thalli Bidda
C01419,Dr NTR Vaidya Seva
C01698,Unemployment Allowance
C04686,Deepam 2.0
C00674,Deepam 2.0
C01118,Free Bus Travel for Women
C01793,Dokka Seethamma
C01305,Annadata Sukhibhava
C02573,Talliki Vandanam
C00118,Thalli Bidda
C01007,Free Bus Travel for Women
C01136,Talliki Vandanam
C02372,Unemployment Allowance
C04190,Unemployment Allowance
C02877,Dr NTR Vaidya Seva
C03715,Thalli Bidda
C00583,Free Gas Cylinders
C02179,Annadata Sukhibhava
C03807,Dr NTR Vaidya Seva
C03200,Talliki Vandanam
C02431,Free Gas Cylinders
C03422,Dokka Seethamma
C04826,Free Bus Travel for Women
C04725,Annadata Sukhibhava
C00809,Dr NTR Vaidya Seva
C02541,Free Gas Cylinders
C03606,Dr NTR Vaidya Seva
C04027,Thalli Bidda
C03273,Free Gas Cylinders
C03882,Dr NTR Vaidya Seva
C03153,Dr NTR Vaidya Seva
C02062,Thalli Bidda
C03229,Talliki Vandanam
C04606,Free Gas Cylinders
C01030,Talliki Vandanam
C04098,Free Gas Cylinders
C01145,Dr NTR Vaidya Seva
C02547,Free Gas Cylinders
C02627,Deepam 2.0
C00579,Thalli Bidda
C02980,Talliki Vandanam
C02356,Dokka Seethamma
C04255,Thalli Bidda
C04336,Deepam 2.0
C04861,Dokka Seethamma
C04107,Thalli Bidda
C01177,Thalli Bidda
C02954,Unemployment Allowance
C02260,Deepam 2.0
C01365,Talliki Vandanam
C03532,Annadata Sukhibhava
C04539,Free Gas Cylinders
C00333,Dr NTR Vaidya Seva
C04976,Deepam 2.0
C04874,Dokka Seethamma
C03830,Free Bus Travel for Women
C04311,Dr NTR Vaidya Seva
C02258,Talliki Vandanam
C00506,Dr NTR Vaidya Seva
C03924,Deepam 2.0
C02501,Dr NTR Vaidya Seva
C03538,Free Bus Travel for Women
C04786,Talliki Vandanam
C02014,Deepam 2.0
C00719,Unemployment Allowance
C02025,Talliki Vandanam
C01590,Annadata Sukhibhava
C04457,Free Bus Travel for Women
C04643,Free Bus Travel for Women
C01981,Talliki Vandanam
C00648,Annadata Sukhibhava
C00918,Dokka Seethamma
C02154,Talliki Vandanam
C03281,Free Gas Cylinders
C02062,Dokka Seethamma
C04357,Free Gas Cylinders
C02811,Dokka Seethamma
C04081,Free Gas Cylinders
C03044,Deepam 2.0
C02372,Free Gas Cylinders
C01258,Dr NTR Vaidya Seva
C00855,Free Gas Cylinders
C00613,Unemployment Allowance
C01580,Dr NTR Vaidya Seva
C04986,Thalli Bidda
C02073,Free Gas Cylinders
C03726,Dokka Seethamma
C01730,Free Gas Cylinders
C00597,Thalli Bidda
C04685,Dokka Seethamma
C01637,Dokka Seethamma
C03738,Annadata Sukhibhava
C01979,Free Gas Cylinders
C02860,Dr NTR Vaidya Seva
C03476,Dr NTR Vaidya Seva
C02028,Free Bus Travel for Women
C04446,Free Gas Cylinders
C04401,Dr NTR Vaidya Seva
C02051,Annadata Sukhibhava
C03801,Dokka Seethamma
C01154,Free Gas Cylinders
C03171,Talliki Vandanam
C01005,Annadata Sukhibhava
C03541,Deepam 2.0
C02161,Dr NTR Vaidya Seva
C04938,Unemployment Allowance
C03855,Dr NTR Vaidya Seva
C01378,Free Bus Travel for Women
C03223,Dokka Seethamma
C02327,Deepam 2.0
C03536,Dokka Seethamma
C02965,Annadata Sukhibhava
C03976,Thalli Bidda
C01567,Dr NTR Vaidya Seva
C03944,Talliki Vandanam
C00742,Talliki Vandanam
C01075,Thalli Bidda
C00632,Talliki Vandanam
C02563,Deepam 2.0
C00074,Free Bus Travel for Women
C04424,Thalli Bidda
C01302,Annadata Sukhibhava
C01054,Annadata Sukhibhava
C02993,Annadata Sukhibhava
C04687,Talliki Vandanam
C02245,Free Gas Cylinders
C03136,Deepam 2.0
C02497,Unemployment Allowance
C03417,Deepam 2.0
C01233,Talliki Vandanam
C00769,Dr NTR Vaidya Seva
C02758,Dr NTR Vaidya Seva
C03343,Free Bus Travel for Women
C01932,Free Bus Travel for Women
C02891,Talliki Vandanam
C04276,Deepam 2.0
C02359,Free Bus Travel for Women
C01078,Dr NTR Vaidya Seva
C01051,Free Gas Cylinders
C01971,Dokka Seethamma
C00749,Unemployment Allowance
C00119,Free Bus Travel for Women
C00440,Thalli Bidda
C02572,Free Gas Cylinders
C04877,Dokka Seethamma
C02326,Annadata Sukhibhava
C02242,Deepam 2.0
C00503,Deepam 2.0
C02320,Dokka Seethamma
C02438,Free Bus Travel for Women
C02839,Talliki Vandanam
C03997,Unemployment Allowance
C03024,Talliki Vandanam
C04918,Free Bus Travel for Women
C02022,Deepam 2.0
C04223,Talliki Vandanam
C04787,Thalli Bidda
C00201,Deepam 2.0
C02171,Unemployment Allowance
C00033,Unemployment Allowance
C01657,Annadata Sukhibhava
C00198,Talliki Vandanam
C03835,Thalli Bidda
C00789,Dokka Seethamma
C01425,Free Bus Travel for Women
C02692,Free Bus Travel for Women
C01059,Thalli Bidda
C03889,Free Bus Travel for Women
C04011,Dr NTR Vaidya Seva
C02905,Free Gas Cylinders
C02108,Thalli Bidda
C03260,Annadata Sukhibhava
C03585,Deepam 2.0
C03636,Free Gas Cylinders
C03898,Free Bus Travel for Women
C02766,Free Gas Cylinders
C02540,Dokka Seethamma
C00875,Unemployment Allowance
C03836,Annadata Sukhibhava
C01473,Dr NTR Vaidya Seva
C03329,Dr NTR Vaidya Seva
C00867,Free Gas Cylinders
C02024,Free Bus Travel for Women
C04728,Deepam 2.0
C04975,Unemployment Allowance
C01469,Thalli Bidda
C00418,Deepam 2.0
C00566,Free Gas Cylinders
C00483,Annadata Sukhibhava
C01702,Unemployment Allowance
C01824,Free Bus Travel for Women
C04665,Talliki Vandanam
C03578,Deepam 2.0
C03872,Dokka Seethamma
C02708,Dokka Seethamma
C01483,Unemployment Allowance
C03658,Thalli Bidda
C01548,Free Bus Travel for Women
C04629,Annadata Sukhibhava
C01079,Talliki Vandanam
C01811,Thalli Bidda
C00917,Annadata Sukhibhava
C01213,Thalli Bidda
C02840,Free Bus Travel for Women
C04648,Free Gas Cylinders
C02581,Thalli Bidda
C00718,Unemployment Allowance
C01481,Annadata Sukhibhava
C00734,Dr NTR Vaidya Seva
C01532,Deepam 2.0
C00276,Dr NTR Vaidya Seva
C02665,Annadata Sukhibhava
C00376,Talliki Vandanam
C02262,Unemployment Allowance
C01554,Dr NTR Vaidya Seva
C02058,Free Bus Travel for Women
C03214,Unemployment Allowance
C02377,Unemployment Allowance
C01723,Deepam 2.0
C04616,Dr NTR Vaidya Seva
C04819,Annadata Sukhibhava
C02072,Deepam 2.0
C01281,Talliki Vandanam
C00462,Thalli Bidda
C01231,Deepam 2.0
C03617,Dr NTR Vaidya Seva
C04098,Free Bus Travel for Women
C02615,Deepam 2.0
C03784,Dokka Seethamma
C00385,Dokka Seethamma
C03654,Dokka Seethamma
C02619,Thalli Bidda
C00872,Talliki Vandanam
C04929,Free Bus Travel for Women
C01544,Dokka Seethamma
C03049,Free Bus Travel for Women
C00324,Talliki Vandanam
C00358,Talliki Vandanam
C00492,Dr NTR Vaidya Seva
C01735,Deepam 2.0
C02803,Dokka Seethamma
C03475,Thalli Bidda
C03654,Free Gas Cylinders
C02324,Dr NTR Vaidya Seva
C03029,Dokka Seethamma
C03385,Annadata Sukhibhava
C03928,Deepam 2.0
C04529,Unemployment Allowance
C03789,Talliki Vandanam
C01977,Unemployment Allowance
C02247,Dr NTR Vaidya Seva
C01775,Free Bus Travel for Women
C01506,Unemployment Allowance
C03102,Free Gas Cylinders
C03385,Dokka Seethamma
C02336,Annadata Sukhibhava
C02738,Unemployment Allowance
C03366,Free Bus Travel for Women
C02728,Annadata Sukhibhava
C03814,Free Gas Cylinders
C04056,Free Bus Travel for Women
C02569,Annadata Sukhibhava
C04217,Free Gas Cylinders
C00887,Thalli Bidda
C03244,Dr NTR Vaidya Seva
C02941,Free Gas Cylinders
C04751,Dr NTR Vaidya Seva
C02681,Dr NTR Vaidya Seva
C00104,Talliki Vandanam
C01874,Free Bus Travel for Women
C03668,Free Gas Cylinders
C01258,Deepam 2.0
C04665,Dr NTR Vaidya Seva
C02229,Dokka Seethamma
C02100,Deepam 2.0
C00724,Talliki Vandanam
C04620,Deepam 2.0
C01508,Deepam 2.0
C02672,Annadata Sukhibhava
C02176,Free Gas Cylinders
C02893,Thalli Bidda
C04816,Free Gas Cylinders
C01622,Thalli Bidda
C01069,Free Bus Travel for Women
C03971,Dr NTR Vaidya Seva
C03386,Talliki Vandanam
C02237,Annadata Sukhibhava
C02333,Deepam 2.0
C03520,Unemployment Allowance
C01754,Talliki Vandanam
C01515,Thalli Bidda
C00379,Dokka Seethamma
C00635,Free Bus Travel for Women
C03987,Deepam 2.0
C01466,Dokka Seethamma
C01170,Annadata Sukhibhava
C00133,Free Bus Travel for Women
C02964,Deepam 2.0
C02551,Free Bus Travel for Women
C04966,Deepam 2.0
C01362,Free Gas Cylinders
C00270,Annadata Sukhibhava
C02504,Dr NTR Vaidya Seva
C01091,Dokka Seethamma
C02133,Talliki Vandanam
C03776,Dr NTR Vaidya Seva
C04847,Free Gas Cylinders
C01624,Talliki Vandanam
C04471,Thalli Bidda
C04412,Free Bus Travel for Women
C02409,Thalli Bidda
C03301,Thalli Bidda
C00197,Talliki Vandanam
C03591,Dokka Seethamma
C01277,Unemployment Allowance
C02486,Dr NTR Vaidya Seva
C03531,Dr NTR Vaidya Seva
C03091,Unemployment Allowance
C04604,Free Bus Travel for Women
C03535,Talliki Vandanam
C04630,Unemployment Allowance
C01724,Dokka Seethamma
C03347,Dokka Seethamma
C01301,Free Gas Cylinders
C00135,Dokka Seethamma
C02679,Free Gas Cylinders
C04746,Deepam 2.0
C02738,Dr NTR Vaidya Seva
C01354,Thalli Bidda
C01511,Dr NTR Vaidya Seva
C03116,Deepam 2.0
C01727,Deepam 2.0
C02683,Thalli Bidda
C01302,Thalli Bidda
C02008,Unemployment Allowance
C03383,Dokka Seethamma
C04963,Deepam 2.0
C03880,Talliki Vandanam
C02216,Thalli Bidda
C01449,Free Bus Travel for Women
C01974,Unemployment Allowance
C02060,Dr NTR Vaidya Seva
C03410,Dr NTR Vaidya Seva
C00864,Talliki Vandanam
C02896,Annadata Sukhibhava
C02444,Dr NTR Vaidya Seva
C00713,Dokka Seethamma
C00395,Dr NTR Vaidya Seva
C04205,Dr NTR Vaidya Seva
C01383,Dokka Seethamma
C04497,Dr NTR Vaidya Seva
C04260,Dokka Seethamma
C03858,Deepam 2.0
C02227,Unemployment Allowance
C04949,Unemployment Allowance
C00156,Free Bus Travel for Women
C02951,Annadata Sukhibhava
C04261,Dr NTR Vaidya Seva
C02655,Dr NTR Vaidya Seva
C00711,Free Bus Travel for Women
C02456,Unemployment Allowance
C00386,Dokka Seethamma
C04426,Free Bus Travel for Women
C01928,Annadata Sukhibhava
C04461,Free Bus Travel for Women
C04461,Talliki Vandanam
C00994,Dr NTR Vaidya Seva
C04746,Free Bus Travel for Women
C02195,Thalli Bidda
C03448,Annadata Sukhibhava
C01108,Free Bus Travel for Women
C04047,Thalli Bidda
C04936,Free Bus Travel for Women
C04997,Dokka Seethamma
C00020,Annadata Sukhibhava
C01293,Deepam 2.0
C00228,Annadata Sukhibhava
C03159,Free Bus Travel for Women
C00785,Dokka Seethamma
C03007,Deepam 2.0
C00255,Talliki Vandanam
C01256,Free Bus Travel for Women
C04751,Annadata Sukhibhava
C02981,Deepam 2.0
C01772,Annadata Sukhibhava
C01597,Free Bus Travel for Women
C03236,Free Bus Travel for Women
C00546,Unemployment Allowance
C00040,Dokka Seethamma
C01454,Annadata Sukhibhava
C01376,Thalli Bidda
C00373,Deepam 2.0
C02003,Annadata Sukhibhava
C04500,Dr NTR Vaidya Seva
C03965,Deepam 2.0
C00287,Annadata Sukhibhava
C01499,Free Gas Cylinders
C04952,Talliki Vandanam
C02007,Annadata Sukhibhava
C03740,Thalli Bidda
C02624,Dr NTR Vaidya Seva
C04713,Talliki Vandanam
C00064,Talliki Vandanam
C00862,Annadata Sukhibhava
C03793,Dr NTR Vaidya Seva
C02808,Free Bus Travel for Women
C01427,Unemployment Allowance
C02531,Dokka Seethamma
C01954,Unemployment Allowance
C01792,Dokka Seethamma
C03941,Annadata Sukhibhava
C03054,Annadata Sukhibhava
C02561,Unemployment Allowance
C04038,Unemployment Allowance
C03567,Annadata Sukhibhava
C00931,Thalli Bidda
C00480,Dokka Seethamma
C03705,Talliki Vandanam
C01093,Thalli Bidda
C01153,Dokka Seethamma
C01527,Talliki Vandanam
C02085,Talliki Vandanam
C00382,Free Bus Travel for Women
C04258,Talliki Vandanam
C04468,Free Bus Travel for Women
C02319,Annadata Sukhibhava
C01465,Free Bus Travel for Women
C01375,Annadata Sukhibhava
C03117,Talliki Vandanam
C00205,Free Gas Cylinders
C04918,Free Bus Travel for Women
C01458,Unemployment Allowance
C00624,Dokka Seethamma
C01913,Deepam 2.0
C02870,Deepam 2.0
C03694,Dr NTR Vaidya Seva
C01313,Free Gas Cylinders
C01209,Talliki Vandanam
C01344,Annadata Sukhibhava
C01805,Annadata Sukhibhava
C00809,Dr NTR Vaidya Seva
C03829,Free Gas Cylinders
C02377,Deepam 2.0
C04335,Free Bus Travel for Women
C01372,Dr NTR Vaidya Seva
C04048,Talliki Vandanam
C00832,Annadata Sukhibhava
C03285,Thalli Bidda
C04142,Annadata Sukhibhava
C00926,Dr NTR Vaidya Seva
C03837,Dokka Seethamma
C03371,Deepam 2.0
C04898,Talliki Vandanam
C01471,Free Gas Cylinders
C00786,Free Gas Cylinders
C01547,Dokka Seethamma
C03253,Unemployment Allowance
C01387,Dr NTR Vaidya Seva
C03625,Free Bus Travel for Women
C00129,Deepam 2.0
C01402,Talliki Vandanam
C04698,Unemployment Allowance
C00686,Thalli Bidda
C02769,Free Bus Travel for Women
C00190,Unemployment Allowance
C00098,Free Gas Cylinders
C01617,Annadata Sukhibhava
C04984,Dokka Seethamma
C02303,Annadata Sukhibhava
C00497,Free Gas Cylinders
C00226,Thalli Bidda
C02641,Free Gas Cylinders
C00022,Dokka Seethamma
C02126,Dokka Seethamma
C02621,Deepam 2.0
C04488,Unemployment Allowance
C03383,Thalli Bidda
C03659,Talliki Vandanam
C01907,Thalli Bidda
C04131,Unemployment Allowance
C03574,Thalli Bidda
C04997,Thalli Bidda
C00406,Talliki Vandanam
C04581,Free Bus Travel for Women
C00195,Thalli Bidda
C03218,Unemployment Allowance
C02410,Talliki Vandanam
C02784,Dokka Seethamma
C01903,Free Gas Cylinders
C02685,Talliki Vandanam
C00690,Thalli Bidda
C01339,Thalli Bidda
C01369,Thalli Bidda
C04874,Thalli Bidda
C01986,Deepam 2.0
C04494,Deepam 2.0
C04627,Talliki Vandanam
C00966,Dokka Seethamma
C01936,Deepam 2.0
C00090,Free Gas Cylinders
C00885,Annadata Sukhibhava
C01292,Annadata Sukhibhava
C01584,Unemployment Allowance
C00227,Dr NTR Vaidya Seva
C01602,Dr NTR Vaidya Seva
C04376,Talliki Vandanam
C00598,Talliki Vandanam
C02981,Talliki Vandanam
C01465,Unemployment Allowance
C00340,Dr NTR Vaidya Seva
C02579,Annadata Sukhibhava
C00542,Thalli Bidda
C02238,Thalli Bidda
C00637,Annadata Sukhibhava
C03776,Talliki Vandanam
C03219,Unemployment Allowance
C04430,Free Gas Cylinders
C03604,Dr NTR Vaidya Seva
C04180,Dokka Seethamma
C03323,Free Bus Travel for Women
C00734,Deepam 2.0
C02086,Talliki Vandanam
C03669,Talliki Vandanam
C02523,Unemployment Allowance
C04449,Annadata Sukhibhava
C02019,Dokka Seethamma
C04270,Annadata Sukhibhava
C04732,Talliki Vandanam
C01019,Annadata Sukhibhava
C02248,Free Gas Cylinders
C03334,Thalli Bidda
C03295,Thalli Bidda
C03597,Dr NTR Vaidya Seva
C00584,Free Gas Cylinders
C01059,Unemployment Allowance
C04625,Dr NTR Vaidya Seva
C00238,Annadata Sukhibhava
C03965,Talliki Vandanam
C04656,Deepam 2.0
C00775,Thalli Bidda
C03459,Unemployment Allowance
C02713,Annadata Sukhibhava
C03959,Thalli Bidda
C00329,Deepam 2.0
C01250,Free Bus Travel for Women
C04548,Talliki Vandanam
C02061,Free Gas Cylinders
C01885,Unemployment Allowance
C03704,Dokka Seethamma
C01329,Thalli Bidda
C03772,Deepam 2.0
C02643,Free Bus Travel for Women
C01219,Talliki Vandanam
C02895,Deepam 2.0
C04360,Unemployment Allowance
C04294,Dokka Seethamma
C03886,Free Bus Travel for Women
C02956,Dokka Seethamma
C04087,Deepam 2.0
C03757,Deepam 2.0
C04979,Free Bus Travel for Women
C01761,Free Gas Cylinders
C03872,Talliki Vandanam
C01339,Unemployment Allowance
C00246,Free Bus Travel for Women
C04714,Dokka Seethamma
C03285,Dr NTR Vaidya Seva
C01602,Dokka Seethamma
C02526,Dr NTR Vaidya Seva
C02345,Dokka Seethamma
C02343,Unemployment Allowance
C01109,Thalli Bidda
C02036,Dokka Seethamma
C01905,Free Gas Cylinders
C03219,Free Gas Cylinders
C01073,Free Bus Travel for Women
C04939,Annadata Sukhibhava
C04531,Dokka Seethamma
C03411,Thalli Bidda
C03320,Deepam 2.0
C01275,Thalli Bidda
C02040,Free Gas Cylinders
C01850,Free Bus Travel for Women
C02554,Talliki Vandanam
C03199,Deepam 2.0
C00464,Annadata Sukhibhava
C03368,Dr NTR Vaidya Seva
C01593,Free Bus Travel for Women
C02214,Talliki Vandanam
C00956,Unemployment Allowance
C01092,Annadata Sukhibhava
C03068,Dr NTR Vaidya Seva
C01608,Unemployment Allowance
C02813,Deepam 2.0
C03405,Free Bus Travel for Women
C03287,Deepam 2.0
C04327,Dokka Seethamma
C03438,Deepam 2.0
C01779,Free Bus Travel for Women
C02986,Thalli Bidda
C00264,Unemployment Allowance
C02261,Unemployment Allowance
C02981,Free Gas Cylinders
C00961,Unemployment Allowance
C01667,Unemployment Allowance
C02380,Deepam 2.0
